key,en,it,vi,
CONGRATULATION,Congratulations!,Congratulazioni!,Chúc mừng!,
YOU_ARE_AMAZING,You're Amazing!,Sei incredibile!,Bạn thật tuyệt!,
BAD_LUCK,Bad luck!,Che sfortuna!,Không may rồi!,
TRY_AGAIN,Try again!,Riprova!,Thử lại nhé!,
DONT_GIVE_UP,Don't give up!,Non arrenderti!,Đừng bỏ cuộc!,
KEEP_GOING,Keep going!,Continua così!,Tiếp tục cố gắng!,
FEATURE_COMING_SOON,This feature is coming soon! Stay tuned for updates!,Questa funzione arriverà presto! Resta sintonizzato per gli aggiornamenti!,Tính năng này sẽ sớm ra mắt! Hãy chờ đón những cập nhật tiếp theo!,
LIRA,Crystals,Cristalli,Lira,
COPY_OK,Copied,Copiato!,Đã sao chép!,
NOT_FOUND_FRIEND,Player not found,Giocatore non trovato,Không tìm thấy người chơi.,
REGISTER_LEAVE,You will leave the game when the match ends,Lascerai il gioco quando la partita finirà.,Bạn sẽ rời game khi trận đấu kết thúc,
CANCEL_REGISTER_LEAVE,Cancel leave registration,Annulla la registrazione per lasciare il gioco,Hủy đăng ký rời game,
LANGUAGE,Language,Lingua,Ngôn ngữ,
ENGLISH,English,Inglese,Tiếng Anh,
VIETNAMESE,Vietnamese,Vietnamita,Tiếng Việt,
ITALY,Italian,Italiano,,
MAX_FRIENDS,You have reached the maximum limit of 100 friends. You cannot add more friends.,Hai raggiunto il limite massimo di 100 amici. Non puoi aggiungerne altri.,,
SENT_FRIEND_REQUEST,Friend request sent!,Richiesta di amicizia inviata!,,
CONFIRM_REMOVE_FRIEND,Confirm removal of @name from friends?,Confermi la rimozione di @name dagli amici?,,
NEW_FRIEND_REQUEST,User @name has sent you a friend request.,L'utente @name ti ha inviato una richiesta di amicizia,,
NEW_FRIEND_ACCEPTED,User @name has accepted your friend request.,L'utente @name ha accettato la tua richiesta di amicizia,,
REQUESTED,Requested,Richiesto,,
ADD_FRIEND,Add Friend,Aggiungi Amico,,
REJECT_FRIEND,Reject Request,Rifiuta Richiesta,,
FRIENDS,Friends,Amici,,
ACCEPT_FRIEND,Accept,Accetta,,
YOU_RECEIVED,You received:,Hai ricevuto:,,
EXIT,Exit,Esci,,
CONTINUE,Continue,Continua,,
YOU_WIN,Victory!!,Vittoria!!,,
YOU_LOSE,You Lose,Hai Perso,,
BET,Amount,Quantità,,
ROOM_ID,Room ID,ID stanza,,
GAME_START,Game Start,Inizio Gioco,,
ROUND,Round,Manche,,
PRIVACY_POLICY,Privacy Policy,Informativa sulla privacy,,
TERMS_OF_SERVICE,Terms of service,Termini di servizio,,
REMOVE_ACC,Remove Account,Rimuovi account,,
TOTAL,Total:,Totale:,,
SCORE_CARDS,Score Cards:,Carte dei Punti:,,
LAST_TRICK,Last Trick:,Ultima Mano:,,
LOGIN_WITH,Login,Accedi,,
OR,or,oppure,,
GUEST,Guest,Ospite,,
CREATE,Create,Crea,,
GAME_MODE,Game Mode,Modalità,,
PLAYER_MODE,Players,Giocatori,,
ROOM_IS_FULL,The room is full. You cannot join at this time.,La stanza è piena. Non puoi unirti al momento.,,
DAILY_SUPPORT,You receive @num Crystals in daily support!,Ricevi @num Cristalli di supporto giornaliero!,,
FORCE_UPDATE_NEW_VERSION,A new version is available! Update to the latest version now to continue playing the game.,Una nuova versione è disponibile! Aggiorna all'ultima versione ora per continuare a giocare.,,
REMIND_UPDATE_NEW_VERSION,A new version is available! Update to the latest version now.,Una nuova versione è disponibile! Aggiorna all'ultima versione ora.,,
LEVEL,Level:,Livello:,,
MAX,Max,Massimo,,
JOIN_ROOM_BY_ID,Join room by ID,Unisciti alla stanza tramite ID,,
ERROR_JOIN_TABLE_1,The game has started,Il gioco è iniziato,,
ERROR_JOIN_TABLE_2,The room is full,La stanza è piena.,,
ERROR_JOIN_TABLE_3,You do not have enough Crystals to join this room,Non hai abbastanza Cristalli per unirti a questa stanza.,,
ERROR_JOIN_TABLE_4,You are already in a match.,Sei già in una partita,,
ERROR_JOIN_TABLE_5,Match not found.,Partita non trovata.,,
PLAY,Play,GIOCA,,
PRIVATE,Private,Privato,,
NO_FRIENDS_ONLINE,There are no friends online.,Non ci sono amici online.,,
INVITE_PLAY,User @name invited you to play,L'utente @name ti ha invitato a giocare.,,
CUSTOMER_SERVICE_SENT,"We received your issue, and we will review it and get back to you as soon as possible",Abbiamo ricevuto il tuo problema e lo esamineremo per risponderti il prima possibile.,,
LAST_TRICK,Last Trick,Ultima Presa,,
NAPOLI,Napoli,Napoli,,
HOW_TO_PLAY_TRES,How to play Tressette,Come giocare a Tressette,,
NO_VALUE,No value,Senza valore,,
THIRD_POINT,1/3 Point,1/3 Punto,,
ONE_POINT,1 Point,1 Punto,,
GOAL,Goal:,Obiettivo:,,
GAME_FLOW,Game Flow:,Flusso di gioco:,,
LOWEST,Lowest,Più basso,,
STRONGEST,Strongest,Più forte,,
PLUS_1_POINT,+1 Point,+1 Punto,,
GAME_FLOW_STEP_1,1. Each player gets 10 cards,1. Ogni giocatore riceve 10 carte,,
GAME_FLOW_STEP_2,2. Players must follow suit if possible,2. I giocatori devono seguire il seme se possibile.,,
GAME_FLOW_STEP_3,3. Highest card of the led suit wins the trick,3. La carta più alta del seme giocato vince la presa.,,
GAME_FLOW_STEP_4,4. The player who wins a trick leads the next one,4. Il giocatore che vince una presa gioca per primo nella successiva.,,
GAME_FLOW_STEP_5,5. The team that wins the final trick gets +1 point,5. La squadra che vince l'ultima presa ottiene +1 punto.,,
GOAL_CONTENT,Win by reaching 11 or 21 points (depending on game mode).,Vinci raggiungendo 11 o 21 punti (a seconda della modalità di gioco).,,
NAPOLI_TIP,"A set of 3, 2, and Ace of the same suit, claim only first trick","Un set di 3, 2 e Asso dello stesso seme, dichiarabile solo alla prima presa.",,
REACH_POINT_TO_WIN,Game to #point,Partita a #point,,
STARTUP_GOLD,You’ve been granted @num Crystals to kickstart your journey. Enjoy the game!,Hai ricevuto @num Cristalli per iniziare la tua avventura. Divertiti con il gioco!,,
NOT_ENOUGH_MIN_GOLD_PLAY_BUY,You need at least @num Crystals to play. Would you like to purchase more now?,Hai bisogno di almeno @num Cristalli per giocare. Vuoi acquistarne di più ora?,,
BET_EXPLAIN_3,"3. Additionally, the winner earns (Score Difference × Amount) from the losing players","3. Inoltre, il vincitore guadagna (Differenza di punteggio × Amount) dai giocatori perdenti.",,
BET_EXPLAIN_1,1. Each player places 1 AMOUNT into the POT at the start of the round.,"1. All'inizio del round, ogni giocatore piazza 1 Amount nel piatto.",,
BET_EXPLAIN_2,"2. At the end of the round, the winner takes the entire POT.","2. Alla fine del round, il vincitore prende l'intero piatto.",,
RETURN_TO_TABLE,Return to table,Ritorna al tavolo,,
ASK_SURE_DELETE,Are you sure you want to delete your account? This action is permanent and cannot be undone.,Sei sicuro di voler eliminare il tuo account? Questa azione è permanente e non può essere annullata,,
DELETE_NOTE_1,- All your game data and progress will be erased,- Tutti i tuoi dati di gioco e progressi verranno eliminati,,
DELETE_NOTE_2,- You will lose access to your account.,- Perderai l’accesso al tuo account,,
DELETE_NOTE_3,- This action cannot be reversed.,- Questa azione non può essere annullata,,
CONFIRM_DELETE,I understand that all my game data and progress will be permanently deleted,Comprendo che tutti i miei dati di gioco e progressi verranno eliminati in modo permanente,,
ACCOUNT_DELETION,Account Deletion,Eliminazione account,,
DELETE,Delete,Elimina,,
PLEASE_CONFIRM_DELETE,Please confirm deletion,"Per favore, conferma l'eliminazione",,
NO_TABLES,No tables available,Nessun tavolo disponibile,,
POINT_MODE,Points,Punti,,
FEE_CREATE,Room creation fee: @num,Costo creazione stanza: @num,,
DOWNLOAD,Download,Scarica,,
UPDATING,Preparing game...,Preparazione gioco...,,
INTERNET_ISSUE,No internet connection. Please check your network and try again.,Nessuna connessione a Internet. Controlla la tua rete e riprova.,,
QUICK_CHAT_0,Good game!,Buona partita!,,
QUICK_CHAT_1,Nice move!,Bella mossa!,,
QUICK_CHAT_2,What bad luck!,Che sfortuna!,,
QUICK_CHAT_3,I have a good hand!,Ho un buon gioco!,,
QUICK_CHAT_4,Great capture!,Bella presa!,,
QUICK_CHAT_5,Let’s play again?,Facciamo una rivincita?,,
MISSION_NAME,Name,Nome,,
MISSION_REWARD,Reward,Ricompensa,,
MISSION_STATUS,Status,Stato,,
REFRESH_AFTER,Refresh after:,Aggiorna dopo:,,
COMPLETED,Completed,Completato,,
LEADERBOARD,Leaderboard,Classifica,,
CLAIM,Claim,Riscuoti,,
RANK,Rank,Grado,,
PLAYER,Player,Giocatore,,
GAME_WIN,Game win,Vittorie,,
REWARD,Reward,Ricompensa,,
NO_ADS_DAYS,@day days,@day giorni,,
LOGIN_WITH_GOOGLE,Login with Google,Accedi con Google,,
LOGIN_WITH_APPLE,Login with Apple,Accedi con Apple,,
CHAT_IS_OFF,Chat is off. Please turn it on in settings.,"La chat è disattivata. Per favore, attivala nelle impostazioni.",,
CHAT,Chat,Chat,,
CHOOSE_YOUR_CARD_STYLE,Choose your card style,Scegli il tuo stile di carte,,
CLICK_HERE_SHOW,Click here to show,Clicca qui per mostrare,,
JOIN,Join,Unisciti,,
CLAIM_LINK_GOLD,Claim 100K,Richiedi 100K,,
DAILY_SUPPORT_LINK,Daily Support,Supporto Giornaliero,,
BENEFITS,Benefits,Vantaggi,,
LINK_YOUR_ACC,Link your account,Collega il tuo account,,
LINK_CONTENT,You're using a guest account. Link Google or Apple to secure it and unlock extra features!,Stai usando un account ospite. Collega Google o Apple per proteggerlo e sbloccare funzionalità extra!,,
LINK_NOW,Link now,Collega ora,,
VERIFY,Verify,Verifica,,
LINK_ACCOUNT_SUCCESS,"Congrats, account linked successfully","Congratulazioni, account collegato con successo",,
CANNOT_LINK_ACCOUNT,Unable to link account,Impossibile collegare l'account,,
THANKS_RATING,Thank you for rating,Grazie per la valutazione,,
RATE_GAME_TITLE,Enjoying the game? Let us know by rating your experience.,Ti stai divertendo con il gioco? Facci sapere cosa ne pensi valutando la tua esperienza.,,
VIP_MEMBER,VIP member,Membro VIP,,
CLAIM_REWARD_SUCCESS,Congrats! You received:,Complimenti! Hai ricevuto:,,
WATCH_ADS,Watch a short video to earn a surprise amount of dolphin coins ,Guarda un breve video per guadagnare una quantità a sorpresa di Monete Delfino!,,
SHARE_GAME,Would you like to share the game with your friends?,Ti piacerebbe condividere il gioco con i tuoi amici?,,
SHARE_CONTENT,"🎮 Show your skills and download now! 👇
🤖 Android: https://play.google.com/store/apps/details...
📱 iOS: https://apps.apple.com/us/app/tressette-royal/id6741761784","🎮 **Dimostra la tua abilità e scarica ora!** 👇  
🤖 Android: https://play.google.com/store/apps/details...  
📱 iOS: https://apps.apple.com/us/app/tressette-royal/id6741761784 ",,
CHANGE_YOUR_NAME,Change your name,Cambia il tuo nome,,
SETTE_QUICK_CHAT_0,Hit!,Carta!,,
SETTE_QUICK_CHAT_1,Stand!,Sto!,,
SETTE_QUICK_CHAT_2,Too much!	,Troppo!,,
SETTE_QUICK_CHAT_3,Safe play.,Giocata sicura.,,
SETTE_QUICK_CHAT_4,Risk it!,Rischia!,,
SETTE_QUICK_CHAT_5,Go big!,Vai alla grande!,,
HIT,Hit,Carta,,
STAND,Stand,Sto,,
TEXT_ASK_USER_PAY,"We’re a small indie team, out of budget but not out of love for this game. If you’ve enjoyed it, please help us keep it alive and growing. Your support means everything.","Siamo un piccolo team indipendente, con poche risorse ma tanto amore per questo gioco. Se ti sta piacendo, aiutaci a tenerlo vivo e a farlo crescere. Il tuo supporto vale tantissimo.",,
BANKER,Banker,il banco,,
SETTE_GUIDE_0,- Get as close to 7.5 as possible without going over.,* Avvicinati il più possibile a 7 e mezzo senza superarlo.,,
SETTE_GUIDE_1,"- Number cards = face value
- Face cards = 0.5
- King of Coins = wild (any value)","* Carte numeriche = valore nominale
* Figure = 0,5
* Re di Denari = jolly (qualsiasi valore)
",,
SETTE_GUIDE_2,"- Each player gets 1 card.
- On your turn: draw or stay.
- Over 7.5 = lose.
- Dealer draws until at least 5, then may stop.
","* Ogni giocatore riceve 1 carta.
* Al tuo turno: pesca o resta.
* Oltre 7 e mezzo = sconfitta.
* Il banco pesca fino ad almeno 5, poi può fermarsi.
",,
SETTE_GUIDE_3,- Closest to 7.5 wins. Ties go to dealer.,"* Il più vicino a 7 e mezzo vince. In caso di pareggio vince il banco.
",,
TEXT_ASK_USER_PAY_HEAD,"Dear Tressette lover,","Caro amante del Tressette,",,
VIEW,View,Guarda,,
VIEWERS,Viewers,Spettatori,,
LEVEL_TITLE,Level Rewards,Ricompense Livello,,
LEVEL_NOTE,Level up to receive rewards,Sali di livello per ricevere ricompense,,
DAYS,Days,Giorni,,
YOU_ARE_WATCHING,You’re watching the game,Stai guardando la partita,,
